index,x,y,col,row,is_interpolated
7329,584421.9954497768,5789709.2411203515,2285,2189,True
7330,584421.6345536485,5789707.883290964,2285,2191,True
7331,584421.2736575203,5789706.525461578,2284,2193,True
7332,584420.9127613921,5789705.1676321905,2284,2195,True
7333,584420.5518652638,5789703.809802803,2284,2196,True
7334,584420.1909691356,5789702.451973417,2283,2198,True
7335,584419.8300730075,5789701.09414403,2283,2200,True
7336,584419.4691768793,5789699.736314643,2282,2202,True
7337,584419.108280751,5789698.378485256,2282,2204,True
7338,584418.7473846228,5789697.0206558695,2281,2206,True
7339,584418.3864884946,5789695.662826482,2281,2207,True
7340,584418.0255923663,5789694.304997095,2280,2209,True
7341,584417.6646962381,5789692.947167709,2280,2211,True
7342,584417.3038001099,5789691.589338321,2279,2213,True
7343,584416.9429039817,5789690.231508935,2279,2215,True
7344,584416.5820078534,5789688.873679548,2278,2217,True
7345,584416.2211117252,5789687.515850161,2278,2218,True
7346,584415.860215597,5789686.158020774,2277,2220,True
7347,584415.4993194687,5789684.800191387,2277,2222,True
7348,584415.1384233405,5789683.442362,2276,2224,True
7349,584414.7775272124,5789682.084532613,2276,2226,True
7350,584414.4166310842,5789680.726703227,2275,2228,True
7351,584414.0557349559,5789679.368873839,2275,2230,True
7352,584413.6948388277,5789678.011044452,2274,2231,True
7353,584413.3339426995,5789676.653215066,2274,2233,True
7354,584412.9730465712,5789675.295385678,2273,2235,True
7355,584412.612150443,5789673.937556292,2273,2237,True
7356,584412.2512543148,5789672.579726905,2272,2239,True
7357,584411.8903581866,5789671.221897518,2272,2241,True
7358,584411.5294620583,5789669.864068131,2271,2242,True
7359,584411.1685659301,5789668.506238744,2271,2244,True
7360,584410.8076698019,5789667.148409357,2270,2246,True
7361,584410.4467736736,5789665.79057997,2270,2248,True
7362,584410.0858775454,5789664.432750584,2269,2250,True
7363,584409.7249814173,5789663.074921196,2269,2252,True
7364,584409.3640852891,5789661.71709181,2268,2253,True
7365,584409.0031891608,5789660.359262423,2268,2255,True
7366,584408.6422930326,5789659.001433035,2267,2257,True
7367,584408.2813969044,5789657.643603649,2267,2259,True
7368,584407.9205007761,5789656.285774262,2266,2261,True
7369,584407.5596046479,5789654.927944875,2266,2263,True
7370,584407.1987085197,5789653.570115488,2265,2264,True
7371,584406.8378123915,5789652.212286102,2265,2266,True
